timestamp,speed_kmh,distance_m,soc_pct,battery_voltage_v,battery_temp_c,motor_rpm,motor_temp_c,power_kw,ambient_temp_c,load_kg,car_id,failure_type
2026-01-01 00:00:00,,0.0,100.0,400.0,25.0,,25.0,0.0,25.5,212.3,car_1,Normal
2026-01-01 00:10:00,62.93,10464.38,98.65,397.14,24.96,4472.0,24.16,6.1,24.96,,car_1,Normal
2026-01-01 00:20:00,53.83,20952.1,97.3,398.19,25.73,3809.0,23.18,4.95,25.85,234.1,car_1,Normal
2026-01-01 00:30:00,66.61,29923.28,96.2,396.45,25.43,4510.0,25.83,5.69,26.82,257.2,car_1,Normal
2026-01-01 00:40:00,50.72,41025.77,94.93,396.11,24.99,3528.0,22.64,,25.17,307.4,car_1,Normal
2026-01-01 00:50:00,,49478.42,93.55,,24.5,4143.0,25.21,5.7,25.27,245.3,car_1,Normal
2026-01-01 01:00:00,47.96,59155.16,92.28,394.99,26.08,3407.0,,5.73,27.18,104.6,car_1,Normal
2026-01-01 01:10:00,77.07,67148.07,91.01,392.8,25.87,5301.0,30.53,6.73,26.47,333.2,car_1,Normal
2026-01-01 01:20:00,63.41,79993.74,89.51,395.11,26.38,4488.0,,8.83,,350.4,car_1,Normal
2026-01-01 01:30:00,83.24,90561.37,87.55,393.88,23.89,5937.0,29.2,3.02,26.45,103.5,car_1,Normal
2026-01-01 01:40:00,72.98,104435.46,86.88,392.26,24.5,4992.0,26.96,5.9,25.54,166.5,car_1,Normal
2026-01-01 01:50:00,70.79,116599.17,85.57,392.69,24.9,4720.0,26.24,5.76,25.64,411.9,car_1,Normal
2026-01-01 02:00:00,,128397.56,84.29,390.72,26.07,4634.0,25.3,4.61,26.44,268.6,car_1,Normal
2026-01-01 02:10:00,,138924.23,83.26,389.62,,4246.0,23.01,4.34,24.39,250.3,car_1,Normal
2026-01-01 02:20:00,73.31,148944.33,,390.17,23.2,5077.0,26.78,4.56,24.68,215.9,car_1,Normal
2026-01-01 02:30:00,69.19,161163.27,81.29,388.44,24.72,4785.0,28.04,4.41,25.94,167.5,car_1,Normal
2026-01-01 02:40:00,59.68,172695.45,80.31,389.73,27.07,4195.0,25.99,7.97,25.58,234.4,car_1,Normal
2026-01-01 02:50:00,58.89,182642.58,78.54,387.54,27.92,4247.0,26.98,5.17,27.01,328.0,car_1,Normal
2026-01-01 03:00:00,63.98,192457.61,77.39,386.06,,4297.0,23.96,3.75,25.89,248.7,car_1,Normal
2026-01-01 03:10:00,86.84,203120.88,76.55,,23.78,6030.0,33.08,7.92,25.48,298.8,car_1,Normal
2026-01-01 03:20:00,90.59,,74.79,386.24,29.77,6540.0,38.36,8.73,28.46,391.3,car_1,Normal
2026-01-01 03:30:00,75.14,232692.25,72.85,385.72,26.52,5358.0,-7.108599947827056,8.45,26.86,203.6,car_1,Normal
2026-01-01 03:40:00,75.29,245214.92,70.98,385.8,27.41,5359.0,31.19,6.46,27.25,274.2,car_1,Normal
2026-01-01 03:50:00,72.01,257763.91,69.54,382.0,23.74,5090.0,28.17,4.16,25.86,330.4,car_1,Normal
2026-01-01 04:00:00,67.82,269766.09,68.62,384.29,25.11,4785.0,27.61,4.63,26.83,175.4,car_1,Normal
2026-01-01 04:10:00,86.89,281070.07,67.59,382.28,27.35,6026.0,,6.45,27.58,,car_1,Normal
2026-01-01 04:20:00,91.46,295552.05,66.15,381.98,26.78,6335.0,,7.09,,399.8,car_1,Normal
2026-01-01 04:30:00,69.91,310796.05,,381.26,25.38,4990.0,31.67,5.05,28.04,222.8,car_1,Normal
2026-01-01 04:40:00,76.96,322447.24,63.46,380.69,26.42,5323.0,30.35,7.02,27.16,335.5,car_1,Normal
2026-01-01 04:50:00,74.6,335274.73,61.89,377.88,27.93,5256.0,30.35,6.04,27.56,238.7,car_1,Normal
2026-01-01 05:00:00,75.39,347707.31,60.55,379.96,26.38,5296.0,32.07,6.05,27.34,394.0,car_1,Normal
2026-01-01 05:10:00,88.8,360272.79,59.21,379.41,28.79,6479.0,39.59,6.35,29.89,118.4,car_1,Normal
2026-01-01 05:20:00,69.36,375072.08,57.79,378.82,28.14,4836.0,30.23,7.98,28.12,255.2,car_1,Normal
2026-01-01 05:30:00,84.13,386632.01,56.02,377.47,28.06,6029.0,33.27,5.86,27.17,131.7,car_1,Normal
2026-01-01 05:40:00,86.75,400653.14,54.72,376.12,30.04,6158.0,37.66,,29.14,193.9,car_1,Normal
2026-01-01 05:50:00,80.32,415112.05,53.03,374.02,27.19,5608.0,32.88,6.17,27.19,193.5,car_1,Normal
2026-01-01 06:00:00,89.11,428497.96,51.66,,28.06,6089.0,35.32,5.49,28.71,228.6,car_1,Normal
2026-01-01 06:10:00,83.66,443350.41,50.44,374.23,26.87,5850.0,32.84,6.06,26.63,154.9,car_1,Normal
2026-01-01 06:20:00,92.72,457293.91,49.09,,27.77,6598.0,36.33,6.48,27.35,244.3,car_1,Normal
2026-01-01 06:30:00,71.3,472746.99,47.65,373.24,27.8,4844.0,27.75,5.1,28.96,286.8,car_1,Normal
2026-01-01 06:40:00,81.17,484629.87,46.52,372.18,28.35,5782.0,35.36,5.24,29.59,127.4,car_1,Normal
2026-01-01 06:50:00,83.86,498158.19,45.36,,28.99,6032.0,34.57,7.17,29.11,199.2,car_1,Normal
2026-01-01 07:00:00,63.53,512135.23,43.76,369.67,29.78,4458.0,28.4,7.3,28.91,453.3,car_1,Normal
2026-01-01 07:10:00,76.68,522723.08,42.14,370.03,30.2,5477.0,33.91,,28.81,276.3,car_1,Normal
2026-01-01 07:20:00,79.31,535502.44,40.16,370.52,27.15,5568.0,31.62,6.15,27.72,104.6,car_1,Normal
2026-01-01 07:30:00,93.84,548719.97,38.79,367.26,27.44,,36.36,5.41,28.57,138.0,car_1,Normal
2026-01-01 07:40:00,81.03,564360.06,37.59,368.77,29.25,5851.0,36.52,6.04,28.91,268.1,car_1,Normal
2026-01-01 07:50:00,80.56,1613492.8973608306,36.24,367.81,31.05,5453.0,36.99,9.18,30.51,258.1,car_1,Voltage_Sag
2026-01-01 08:00:00,94.06,1613492.8973608306,34.2,364.36,30.49,6492.0,38.5,6.33,29.88,203.0,car_1,Normal
